TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
HBSA3;3,21;;-21,23;1,71;0,40;34,97;21,62;-8,91;8,75;23,23;14,49;2,83;1,89;5,14;-0,47;1,92;-8,05;-1,86;3,76;0,23;0,77;0,21;49,43;;15.947.860,00;1,88;-0,15;0,82;2.440.828.284,03
HBTS5;54,00;0,30;2,15;0,94;0,37;63,46;45,41;84,56;4,00;4,46;0,46;0,11;1,82;-5,55;-0,40;0,59;43,93;17,08;16,05;0,39;0,61;0,20;7,42;106,97;28.916,64;57,25;25,15;0,00;493.219.098,00
HETA3;96,00;;-0,28;-0,09;4,24;100,00;-7.377,17;-7.526,18;-0,29;-2,02;-1,89;;21,09;-0,68;-4,44;0,01;-31,35;-1.513,45;73,59;-48,27;49,27;0,20;-2,24;;42.600,00;-1.092,95;-342,66;0,00;21.415.382,70
HETA4;14,70;;-0,04;-0,01;0,65;100,00;-7.377,17;-7.526,18;-0,04;-2,02;-1,89;;3,23;-0,10;-0,68;0,01;-31,35;-1.513,45;73,59;-48,27;49,27;0,20;-2,24;;98.698,86;-1.092,95;-342,66;0,00;21.415.382,70
HGTX3;37,50;0,87;101,99;3,57;2,48;40,58;-0,59;4,10;-707,65;-713,65;-5,99;0,03;4,18;7,50;-5,59;2,47;3,51;2,43;-7,32;0,69;0,31;0,59;-7,54;-26,63;109.503.605,67;10,49;0,37;-1,23;6.095.022.637,50
HOOT3;0,00;;0,00;0,00;0,00;60,25;-80,47;-117,20;0,00;-0,74;0,10;;0,00;0,00;0,00;0,04;-8,34;-8,20;5,80;-0,98;2,04;0,07;-24,22;;;-25,39;-2,12;0,00;22.420.362,96
HOOT4;2,84;;-1,34;-0,11;0,11;60,25;-80,47;-117,20;-1,95;-0,74;0,10;;1,57;-0,08;-0,12;0,04;-8,34;-8,20;5,80;-0,98;2,04;0,07;-24,22;;459.582,31;-25,39;-2,12;0,02;22.420.362,96
HYPE3;28,84;4,22;14,13;1,89;0,91;63,97;32,24;23,74;10,40;12,84;2,43;0,44;3,35;5,37;-1,38;1,99;13,35;6,45;10,00;0,48;0,52;0,27;6,70;18,22;103.385.636,92;15,28;2,04;2,34;18.267.856.535,32
IDVL3;2,16;;-0,99;0,93;0,06;-18,91;-40,19;-154,60;-3,81;-3,84;;;1,53;0,48;-0,13;1,26;-94,38;-5,67;;0,06;0,94;0,04;-32,17;;289.164,47;2,31;-2,18;0,00;224.007.574,38
IDVL4;2,67;;-1,22;1,16;0,07;-18,91;-40,19;-154,60;-4,71;-3,84;;;1,89;0,59;-0,16;1,26;-94,38;-5,67;;0,06;0,94;0,04;-32,17;;89.696,16;2,31;-2,18;0,00;224.007.574,38
IFCM3;15,49;;-390,15;4,16;2,55;48,55;-4,51;-3,05;-264,11;-228,69;35,43;-0,56;11,91;8,08;-6,36;2,11;-1,07;-0,65;-1,46;0,61;0,39;0,21;;;13.465.965,83;3,72;-0,04;;3.833.623.802,11
IGBR3;35,46;;-0,43;-0,04;0,31;93,96;-1.452,23;-2.165,07;-0,63;-8,09;-7,46;;9,21;-0,11;-0,35;0,04;-10,25;-72,17;14,41;-7,04;8,04;0,03;-9,35;;2.218.327,89;-813,09;-83,37;-0,01;44.342.588,16
IGSN3;0,00;;0,00;0,00;0,00;32,97;13,25;-3,97;0,00;33,20;33,20;1,41;0,00;0,00;0,00;0,75;-1,27;-0,35;1,04;0,27;0,73;0,09;10,03;;;6,82;-0,09;0,00;0,00
IGTA3;33,00;0,86;17,05;1,71;0,83;52,76;50,41;47,06;15,91;20,93;5,02;0,54;8,02;4,03;-1,10;5,62;10,06;4,85;3,26;0,48;0,52;0,10;1,21;12,34;77.274.693,00;19,24;1,94;0,36;5.828.182.074,00
INEP3;1,61;;-0,92;-0,10;0,18;-75,54;-2.898,24;-8.030,76;-2,55;-10,64;-8,11;;73,85;-0,12;-0,20;0,05;-11,39;-19,64;8,23;-1,72;2,72;0,00;-55,72;;2.263.975,97;-15,37;-1,75;0,02;266.464.989,75
INEP4;1,58;;-0,90;-0,10;0,18;-75,54;-2.898,24;-8.030,76;-2,50;-10,64;-8,11;;72,47;-0,12;-0,19;0,05;-11,39;-19,64;8,23;-1,72;2,72;0,00;-55,72;;2.497.332,33;-15,37;-1,75;0,02;266.464.989,75
INNT3;0,00;;0,00;0,00;0,00;20,84;3,20;-2,40;0,00;13,08;13,08;2,50;0,00;0,00;0,00;1,37;-14,32;-1,25;1,92;0,09;0,91;0,52;37,50;;;0,79;-0,11;0,00;0,00
INTB3;28,15;0,58;19,59;5,03;2,93;28,68;14,43;16,51;22,41;21,08;-1,33;-0,30;3,23;5,74;-15,77;2,68;25,66;14,95;17,74;0,58;0,41;0,91;;;50.733.757,19;5,60;1,44;0,14;9.222.252.746,50
IRBR3;4,25;;-5,78;1,34;0,23;-14,11;-18,50;-11,39;-3,56;-3,56;;;0,66;-1,82;-0,63;0,84;-23,15;-3,90;;0,17;0,83;0,34;17,75;;71.701.804,44;3,18;-0,74;-0,13;5.388.533.911,00
ITEC3;40,10;;-35,12;22,04;9,22;-121,18;-18.852,94;-7.435,88;-13,85;-13,21;0,64;-1,02;2.611,73;25,42;-16,70;5,23;-62,76;-26,24;-174,07;0,42;0,58;0,00;-75,29;;;1,82;-1,14;1,36;443.994.658,60
ITSA3;10,12;4,63;7,25;1,36;1,05;34,52;169,55;150,31;6,43;6,71;0,32;0,07;10,89;30,01;-1,16;1,59;18,76;14,50;16,89;0,77;0,18;0,10;3,78;5,78;2.595.649,47;7,44;1,40;0,10;84.620.559.147,20
ITSA4;10,03;4,67;7,18;1,35;1,04;34,52;169,55;150,31;6,37;6,71;0,32;0,07;10,80;29,75;-1,15;1,59;18,76;14,50;16,89;0,77;0,18;0,10;3,78;5,78;328.096.460,75;7,44;1,40;0,10;84.620.559.147,20
ITUB3;20,83;4,65;7,01;1,38;0,10;68,27;23,46;14,91;4,45;4,71;;;1,04;;-0,10;;19,75;1,43;;0,07;0,92;0,10;6,04;2,52;33.064.784,81;15,06;2,97;0,12;215.947.084.172,22
ITUB4;23,25;4,16;7,82;1,54;0,11;68,27;23,46;14,91;4,97;4,71;;;1,17;;-0,11;;19,75;1,43;;0,07;0,92;0,10;6,04;2,52;1.038.862.858,78;15,06;2,97;0,14;215.947.084.172,22
JALL3;9,72;1,43;12,92;2,52;0,83;60,93;56,75;17,35;3,95;4,93;0,98;0,62;2,24;2,64;-1,69;2,58;19,51;6,40;21,90;0,33;0,67;0,37;;;7.710.265,33;3,85;0,75;0,34;2.864.455.724,52
JBSS3;35,37;8,53;4,66;1,80;0,43;17,75;8,40;5,47;3,03;5,20;2,16;1,29;0,25;3,05;-0,72;1,53;38,74;9,20;15,10;0,24;0,74;1,68;10,65;31,19;432.197.851,56;19,61;7,60;0,01;83.963.660.580,90
JFEN3;1,18;;-0,70;-0,26;0,10;181,16;1.823,01;1.677,25;-0,64;-3,58;-2,94;;;-0,90;-0,65;0,88;-36,81;-14,31;-1.644,19;-0,39;1,46;-0,01;-44,72;;635.943,36;-4,60;-1,69;0,01;124.140.501,70
JHSF3;5,07;7,77;3,78;0,78;0,43;70,88;54,24;47,92;3,34;4,39;1,05;0,25;1,81;2,33;-0,60;2,87;20,69;11,43;15,12;0,55;0,44;0,24;13,16;53,36;24.976.440,78;6,47;1,34;0,10;3.479.157.469,71
JOPA3;31,99;2,68;20,50;0,62;0,15;19,41;3,11;0,88;5,79;13,21;7,40;0,79;0,18;0,42;-0,52;2,12;3,01;0,75;2,53;0,25;0,67;0,86;8,16;-7,34;27.329,92;51,75;1,56;-0,31;339.187.882,07
JOPA4;37,00;2,55;23,71;0,71;0,18;19,41;3,11;0,88;6,70;13,21;7,40;0,79;0,21;0,48;-0,60;2,12;3,01;0,75;2,53;0,25;0,67;0,86;8,16;-7,34;3.700,00;51,75;1,56;-0,36;339.187.882,07
JPSA3;29,37;0,39;15,40;1,46;0,36;52,83;46,37;23,03;7,65;13,40;5,74;1,10;3,55;1,78;-0,47;5,31;9,51;2,31;2,46;0,24;0,52;0,10;1,23;;8.967.958,41;20,05;1,91;0,20;2.581.305.040,38
JSLG3;7,09;1,90;8,22;1,51;0,33;-47,57;52,92;48,66;7,56;17,46;9,90;1,98;4,00;2,19;-0,48;1,88;18,36;3,97;4,04;0,22;0,78;0,08;-13,95;39,50;6.109.927,72;4,70;0,86;1,13;2.030.796.343,02
KEPL3;32,65;5,13;10,90;1,44;0,74;22,84;11,03;8,60;8,49;5,27;-3,23;-0,55;0,94;2,74;-2,53;1,62;13,23;6,82;11,67;0,52;0,48;0,79;-1,00;70,89;10.262.445,86;22,64;3,00;0,32;990.958.680,75
KLBN11;23,64;1,55;8,02;4,92;0,65;42,35;31,17;21,86;5,62;9,84;4,22;3,70;1,75;3,07;-0,99;2,60;61,39;8,11;9,77;0,13;0,84;0,37;16,01;;144.455.761,50;4,80;2,95;-0,04;26.561.396.950,37
KLBN3;5,97;1,23;10,12;6,21;0,82;42,35;31,17;21,86;7,10;9,84;4,22;3,70;2,21;3,87;-1,25;2,60;61,39;8,11;9,77;0,13;0,84;0,37;16,01;;785.952,22;0,96;0,59;-0,05;26.561.396.950,37
KLBN4;4,41;1,66;7,48;4,59;0,61;42,35;31,17;21,86;5,24;9,84;4,22;3,70;1,63;2,86;-0,93;2,60;61,39;8,11;9,77;0,13;0,84;0,37;16,01;;3.144.004,83;0,96;0,59;-0,04;26.561.396.950,37
KRSA3;5,15;;157,35;3,19;1,04;27,69;17,75;2,50;22,15;27,42;5,27;0,76;3,93;7,09;-1,50;1,92;2,03;0,66;4,45;0,33;0,67;0,27;;;1.373.046,97;1,61;0,03;;3.941.064.151,25
LAME3;5,81;3,70;18,62;1,68;0,25;32,90;4,35;2,27;9,71;15,56;5,87;1,01;0,42;1,06;-0,58;1,72;9,02;1,34;2,89;0,15;0,63;0,59;3,50;18,61;40.475.753,56;3,46;0,31;-41,35;10.928.033.778,85
LAME4;5,80;3,71;18,59;1,68;0,25;32,90;4,35;2,27;9,69;15,56;5,87;1,01;0,42;1,05;-0,58;1,72;9,02;1,34;2,89;0,15;0,63;0,59;3,50;18,61;191.756.001,92;3,46;0,31;-41,27;10.928.033.778,85
LAND3;21,00;;90,38;2,97;1,96;89,48;65,41;35,47;49,01;50,28;1,28;0,08;32,06;-198,66;-2,18;0,91;3,28;2,17;3,54;0,66;0,34;0,06;;;1.140.841,47;7,08;0,23;;2.020.766.202,00
LAVV3;5,10;13,33;5,14;0,78;0,55;41,62;31,28;30,43;5,00;2,18;-2,82;-0,44;1,56;1,03;-1,73;4,42;15,17;10,64;13,10;0,70;0,26;0,35;;;8.407.549,83;6,55;0,99;0,02;1.061.775.385,20
LCAM3;24,37;1,55;17,61;2,60;0,82;36,66;25,62;14,30;9,82;14,79;4,96;1,31;2,52;26,06;-1,02;1,19;14,75;4,64;7,56;0,31;0,69;0,32;51,17;106,93;65.225.583,33;9,38;1,38;0,12;12.397.735.746,07
LEVE3;30,70;3,03;7,34;2,29;1,35;29,10;19,99;15,56;5,71;5,63;-0,08;-0,03;1,14;4,80;-3,03;2,03;31,22;18,40;28,76;0,59;0,41;1,18;-0,25;21,71;24.609.769,19;13,40;4,18;0,01;3.939.070.950,00
LHER3;0,00;;0,00;0,00;0,00;63,41;22,35;10,99;0,00;-3,77;-3,77;-0,15;0,00;0,00;0,00;6,36;1,95;0,67;3,94;0,34;0,66;0,06;4,31;-51,59;;141,54;2,76;0,00;0,00
LHER4;0,00;;0,00;0,00;0,00;63,41;22,35;10,99;0,00;-3,77;-3,77;-0,15;0,00;0,00;0,00;6,36;1,95;0,67;3,94;0,34;0,66;0,06;4,31;-51,59;;141,54;2,76;0,00;0,00
LIGT3;12,69;3,48;6,23;0,54;0,17;21,05;11,52;5,02;2,71;6,84;4,13;0,82;0,31;1,08;-0,25;2,05;8,68;2,80;6,86;0,32;0,68;0,56;3,68;82,18;34.439.977,78;23,49;2,04;-0,01;4.727.727.061,56
LINX3;37,40;1,51;-90,95;4,38;2,74;68,70;-4,79;-8,67;-164,48;-159,30;5,18;-0,14;7,88;11,96;-4,82;2,14;-4,81;-3,02;-2,23;0,63;0,37;0,35;14,30;;105.252.650,44;8,55;-0,41;0,13;7.083.895.104,00
LIPR3;63,00;3,21;28,96;3,59;3,10;;;;32,01;28,51;-3,50;-0,39;;12,10;-4,83;3,51;12,39;10,71;10,60;0,86;0,14;0,00;;36,97;17.366,33;17,56;2,18;-1,34;741.188.007,00
LJQQ3;11,31;0,76;27,16;3,99;0,81;40,16;9,25;3,95;11,61;10,80;-0,82;-0,28;1,07;2,75;-2,57;1,76;14,69;2,99;17,22;0,20;0,80;0,76;;;35.423.490,89;2,84;0,42;0,46;2.118.252.942,39
LLIS3;1,40;;-0,05;0,72;0,05;50,41;-50,70;-233,84;-0,24;-4,31;-4,07;12,24;0,12;1,42;-0,06;1,16;-1.386,10;-87,33;-24,46;0,06;0,94;0,37;-12,82;;1.399.905,69;1,94;-26,89;0,00;96.391.160,60
LOGG3;24,31;1,34;7,85;0,75;0,48;98,64;248,79;215,12;6,79;9,46;2,67;0,30;16,89;4,39;-0,60;2,20;9,55;6,13;7,01;0,64;0,35;0,03;8,78;79,04;14.275.855,22;32,44;3,10;0,06;2.483.489.033,74
LOGN3;21,11;;10,65;5,10;1,00;21,54;19,14;15,77;8,77;11,93;3,16;1,84;1,68;4,32;-1,72;2,23;47,93;9,39;11,81;0,20;0,80;0,60;4,71;;17.233.359,97;4,14;1,98;-0,04;2.234.306.718,72
LPSB3;2,53;;6,72;1,70;0,85;83,68;25,67;25,04;6,55;4,28;-2,27;-0,59;1,68;3,77;-1,43;2,25;25,32;12,66;21,40;0,50;0,51;0,51;-3,97;;3.538.891,69;1,49;0,38;-0,01;373.313.216,43
LREN3;30,77;1,35;53,56;3,20;1,56;57,61;8,54;5,81;36,44;33,54;-2,90;-0,25;3,11;4,31;-4,35;2,31;5,98;2,92;6,00;0,49;0,51;0,50;4,17;-0,38;371.863.192,11;9,61;0,57;-0,98;30.424.753.799,83
LTEL3B;86,61;5,02;12,34;5,32;5,31;;;;12,37;11,96;-0,41;-0,18;;29,15;-6,50;139,06;43,09;43,04;42,89;1,00;0,00;0,00;;;;16,29;7,02;0,03;18.664.056.853,83
LUPA3;5,42;;1,63;1,18;0,31;27,26;14,63;118,45;13,21;23,43;10,22;0,92;1,93;0,94;-0,61;2,96;72,63;18,86;3,45;0,26;0,74;0,16;-27,27;;23.657.981,08;4,57;3,32;-0,01;157.808.411,06
LUXM3;0,00;;0,00;0,00;0,00;30,30;16,64;12,39;0,00;11,02;-0,46;-0,09;0,00;0,00;0,00;1,83;14,89;9,57;14,03;0,64;0,36;0,77;7,04;12,49;;19,69;2,93;0,00;234.651.060,00
LUXM4;80,97;1,98;27,62;4,11;2,64;30,30;16,64;12,39;20,57;11,02;-0,46;-0,09;3,42;21,61;-3,62;1,83;14,89;9,57;14,03;0,64;0,36;0,77;7,04;12,49;27.196,67;19,69;2,93;0,94;234.651.060,00
LVTC3;17,30;;15,43;1,81;0,73;28,57;12,98;7,30;8,68;7,32;-1,36;-0,28;1,13;2,85;-1,92;1,69;11,70;4,70;16,40;0,40;0,60;0,64;;;5.047.288,31;9,58;1,12;;1.112.892.755,30
LWSA3;14,31;0,22;19.992,68;2,86;2,01;45,64;-10,87;0,06;-111,73;-89,27;22,46;-0,57;12,15;5,00;-4,40;3,82;0,01;0,01;-3,09;0,70;0,30;0,17;;;164.150.496,47;5,00;0,00;-204,80;8.436.912.295,32
MAPT3;37,00;;-197,67;-5,76;43,98;;;;-198,83;-201,41;0,00;;;-8.499,78;-43,98;0,00;-2,92;-22,25;2,90;-7,63;8,63;0,00;;;14.800,00;-6,42;-0,19;171,97;34.440.333,00
MAPT4;37,95;;-202,74;-5,91;45,11;;;;-203,93;-201,41;0,00;;;-8.718,02;-45,11;0,00;-2,92;-22,25;2,90;-7,63;8,63;0,00;;;7.545,00;-6,42;-0,19;176,39;34.440.333,00
MATD3;15,02;;41,09;3,48;2,13;37,69;23,95;14,75;25,31;20,11;-5,20;-0,72;6,06;3,73;-6,74;6,09;8,47;5,18;8,12;0,61;0,39;0,35;;;9.411.775,17;4,31;0,37;;5.332.957.536,86
MBLY3;5,95;;-6,90;0,96;0,63;38,99;-11,34;-12,88;-7,83;-5,96;1,87;-0,23;0,89;1,19;-2,14;4,06;-13,98;-9,15;-9,57;0,65;0,35;0,71;;;6.216.275,56;6,17;-0,86;-0,01;633.614.928,80
MDIA3;28,78;2,11;17,33;1,42;0,92;28,87;5,64;7,66;23,52;23,44;-0,08;0,00;1,33;3,04;-1,65;3,20;8,17;5,32;3,68;0,65;0,35;0,69;9,43;-1,39;42.681.221,67;20,34;1,66;-0,55;9.756.420.000,00
MDNE3;5,30;;5,92;0,42;0,18;32,93;8,66;11,40;7,79;6,88;-0,91;-0,05;0,67;0,85;-0,33;1,93;7,16;3,09;3,68;0,43;0,57;0,27;-8,09;15,84;2.140.089,42;12,52;0,90;-0,04;450.019.687,50
MEAL3;2,91;;-10,64;0,72;0,28;30,71;-1,33;-4,76;-38,10;-45,98;-7,88;0,15;0,51;2,35;-0,38;1,81;-6,76;-2,63;-1,74;0,39;0,61;0,55;-6,51;;9.203.419,28;4,04;-0,27;0,13;833.335.332,30
MELK3;4,20;5,10;16,27;0,74;0,44;22,59;6,80;7,86;18,80;7,82;-10,98;-0,43;1,28;0,80;-3,79;2,69;4,56;2,72;2,66;0,60;0,38;0,35;;;7.312.885,22;5,66;0,26;3,17;873.471.232,20
MERC3;25,00;;160,17;1,82;1,38;78,78;6,07;5,69;150,08;112,76;;;9,11;5,95;-2,27;2,45;1,13;0,86;;0,76;0,24;0,15;-30,32;;2.500,00;13,76;0,16;-2,20;338.274.779,50
MERC4;10,70;4,83;68,55;0,78;0,59;78,78;6,07;5,69;64,24;112,76;;;3,90;2,55;-0,97;2,45;1,13;0,86;;0,76;0,24;0,15;-30,32;;6.219,25;13,76;0,16;-0,94;338.274.779,50
MGEL3;19,13;;0,53;-0,41;0,19;16,38;26,47;25,79;0,51;3,48;3,04;;0,14;0,50;-0,50;2,44;-77,44;35,34;34,77;-0,46;1,46;1,37;5,03;;;-46,97;36,38;0,00;94.468.380,41
MGEL4;14,78;;0,41;-0,31;0,14;16,38;26,47;25,79;0,40;3,48;3,04;;0,10;0,39;-0,38;2,44;-77,44;35,34;34,77;-0,46;1,46;1,37;5,03;;54.696,77;-46,97;36,38;0,00;94.468.380,41
MGLU3;8,70;0,48;80,96;5,34;1,90;23,92;2,85;2,00;56,75;57,00;0,24;0,02;1,62;8,89;-5,44;1,49;6,60;2,35;5,82;0,36;0,64;1,18;26,58;;692.665.459,31;1,63;0,11;0,73;58.063.163.577,60
MILS3;5,66;3,31;21,48;1,31;0,98;50,76;16,50;9,96;12,97;12,00;-0,97;-0,10;2,14;3,53;-1,63;3,38;6,11;4,57;5,62;0,75;0,25;0,46;-2,55;;8.737.698,61;4,31;0,26;-0,04;1.427.275.011,80
MLAS3;7,45;;12,76;1,56;0,81;33,41;14,78;12,85;11,10;10,07;-1,03;-0,14;1,64;1,45;-10,62;2,50;12,25;6,32;10,10;0,52;0,48;0,49;;;20.130.760,78;4,77;0,58;;6.113.017.226,25
MMXM3;14,00;;-2,17;-0,11;0,71;;;;-181,31;-719,57;-538,27;;;-0,10;-0,75;0,01;-4,97;-32,75;0,28;-6,58;7,60;0,00;-6,95;;6.294.058,38;-129,88;-6,46;0,03;90.834.562,00
MNDL3;41,96;;2,66;-0,90;0,09;36,44;13,75;5,87;1,13;4,01;2,87;;0,16;-0,17;-0,13;0,40;-33,94;3,21;52,02;-0,09;1,09;0,55;4,94;;85.089,38;-46,53;15,79;-0,01;104.071.709,60
MNPR3;7,86;;6,48;-0,15;0,22;24,13;13,99;2,83;1,31;1,32;0,01;;0,18;-0,14;-0,40;0,23;-2,38;3,35;-8,53;-1,41;2,41;1,19;4,62;;115.726,94;-50,84;1,21;-0,04;55.806.786,00
MOAR3;416,50;9,35;8,24;3,86;2,48;364,49;-110.498,91;-112.118,84;8,37;8,13;-0,23;-0,11;;12,31;-3,52;3,15;46,81;30,11;31,11;0,64;0,36;0,00;94,65;45,17;1.223.548,09;107,93;50,52;-0,01;5.102.633.546,50
MODL11;11,75;1,81;31,18;2,09;0,45;174,42;43,56;25,70;18,40;18,40;;;8,01;;-0,60;;6,71;1,43;;0,21;0,79;0,06;;;6.750.485,89;5,62;0,38;;2.758.116.666,67
MODL3;4,49;1,58;35,74;2,40;0,51;174,42;43,56;25,70;21,09;18,40;;;9,19;;-0,69;;6,71;1,43;;0,21;0,79;0,06;;;76.803,03;1,87;0,13;;2.758.116.666,67
MODL4;3,60;1,97;28,66;1,92;0,41;174,42;43,56;25,70;16,91;18,40;;;7,37;;-0,55;;6,71;1,43;;0,21;0,79;0,06;;;139.373,61;1,87;0,13;;2.758.116.666,67
MOSI3;9,65;0,01;37,81;1,83;1,71;89,47;6,23;14,75;89,54;50,03;-39,51;-0,81;5,58;2,24;-9,84;13,23;4,84;4,52;0,25;0,93;0,07;0,31;;;19.602.507,75;5,27;0,26;;1.221.649.277,00
MOVI3;18,06;2,19;9,01;2,06;0,33;39,35;29,43;15,85;4,85;9,09;4,24;1,80;1,43;0,92;-0,63;4,10;22,86;3,68;6,06;0,16;0,84;0,23;27,48;61,05;41.530.024,00;8,77;2,00;0,00;6.543.175.673,16
MRFG3;24,45;6,56;3,48;3,47;0,36;18,70;13,28;6,10;1,60;2,95;1,36;2,95;0,21;1,89;-0,78;1,54;99,93;10,32;24,18;0,10;0,86;1,69;28,12;;189.668.029,06;7,04;7,03;0,03;16.903.994.372,85
MRSA3B;35,70;0,81;14,11;2,45;0,95;35,76;37,29;19,79;7,49;8,62;1,20;0,39;2,79;28,72;-1,20;1,19;17,39;6,77;13,27;0,39;0,61;0,34;2,59;23,80;7.140,00;14,55;2,53;0,07;12.031.832.880,90
MRSA5B;40,29;0,79;15,92;2,77;1,08;35,76;37,29;19,79;8,45;8,62;1,20;0,39;3,15;32,41;-1,36;1,19;17,39;6,77;13,27;0,39;0,61;0,34;2,59;23,80;4.029,00;14,55;2,53;0,08;12.031.832.880,90
MRSA6B;35,00;0,90;13,83;2,41;0,94;35,76;37,29;19,79;7,34;8,62;1,20;0,39;2,74;28,16;-1,18;1,19;17,39;6,77;13,27;0,39;0,61;0,34;2,59;23,80;;14,55;2,53;0,07;12.031.832.880,90
MRVE3;11,89;4,02;8,19;0,96;0,29;27,16;13,58;10,13;6,11;10,10;3,99;0,62;0,83;1,10;-0,57;2,17;11,69;3,56;6,75;0,30;0,68;0,35;6,89;5,06;63.491.907,64;12,41;1,45;0,21;5.741.384.142,37
MSPA3;48,50;;-9,34;0,39;0,23;25,32;-33,39;-25,29;-7,07;-8,39;-1,36;0,07;2,36;25,35;-0,24;1,21;-4,14;-2,42;-6,62;0,59;0,41;0,10;-2,17;;4.850,00;125,46;-5,19;0,20;308.706.266,50
MSPA4;46,00;;-8,85;0,37;0,21;25,32;-33,39;-25,29;-6,71;-8,39;-1,36;0,07;2,24;24,05;-0,23;1,21;-4,14;-2,42;-6,62;0,59;0,41;0,10;-2,17;;4.600,00;125,46;-5,19;0,19;308.706.266,50
MSRO3;702,50;;2.759,27;319,27;76,41;44,68;27,42;6,94;698,76;704,69;5,93;2,71;191,62;-315,18;-87,89;0,35;11,57;2,77;10,39;0,24;0,76;0,40;14,18;;;2,20;0,25;2,87;18.271.898.550,00
MTIG3;0,00;;0,00;0,00;0,00;7,93;0,02;-5,51;0,00;4.836,21;4.416,90;;0,00;0,00;0,00;0,58;-10,94;-4,80;-9,87;-0,44;1,44;0,87;0,14;;;-154,92;-16,95;0,00;7.061.725,44
MTIG4;43,89;;-2,59;-0,28;0,12;7,93;0,02;-5,51;628,98;4.836,21;4.416,90;;0,14;-0,31;-0,27;0,58;-10,94;-4,80;-9,87;-0,44;1,44;0,87;0,14;;57.983,18;-154,92;-16,95;0,02;7.061.725,44
MTRE3;7,00;8,07;20,96;0,75;0,50;34,67;7,61;6,33;17,41;10,96;-6,45;-0,28;1,33;0,98;-1,79;3,33;3,58;2,37;2,92;0,66;0,34;0,37;;;5.607.902,42;9,34;0,33;1,63;740.423.740,00
MTSA3;64,20;3,08;11,20;1,89;1,29;28,63;13,19;9,74;8,27;6,64;-0,08;-0,02;1,09;2,62;-5,98;2,67;16,87;11,49;13,31;0,68;0,32;1,18;10,62;25,85;9.450,00;33,98;5,73;1,41;476.446.007,39
MTSA4;41,83;5,20;7,30;1,23;0,84;28,63;13,19;9,74;5,39;6,64;-0,08;-0,02;0,71;1,71;-3,89;2,67;16,87;11,49;13,31;0,68;0,32;1,18;10,62;25,85;151.561,42;33,98;5,73;0,92;476.446.007,39
MULT3;20,70;2,20;32,19;1,92;1,14;77,24;42,09;33,73;25,79;29,95;4,16;0,31;10,86;12,63;-1,37;2,12;5,98;3,54;4,64;0,59;0,41;0,10;0,31;1,30;171.487.956,86;10,76;0,64;-0,54;12.435.750.112,50
MWET3;26,05;;0,31;-1,12;0,23;16,06;29,73;75,13;0,79;1,39;0,81;;0,24;29,51;-0,40;1,02;-356,36;74,30;1.091,33;-0,21;1,22;0,99;-0,73;;7.167,00;-23,33;83,15;0,00;39.836.078,07
MWET4;16,01;;0,19;-0,69;0,14;16,06;29,73;75,13;0,49;1,39;0,81;;0,14;18,13;-0,25;1,02;-356,36;74,30;1.091,33;-0,21;1,22;0,99;-0,73;;60.552,49;-23,33;83,15;0,00;39.836.078,07
MYPK3;15,52;;7,61;0,59;0,17;12,45;8,02;2,46;2,33;6,85;4,52;1,13;0,19;1,40;-0,32;1,32;7,70;2,17;6,85;0,28;0,69;0,88;5,05;44,74;31.847.389,94;26,50;2,04;-0,04;2.385.728.207,52
NAFG3;64,37;;11,80;2,76;1,15;41,15;16,49;9,34;6,68;5,06;1,17;0,48;1,10;3,20;-2,87;2,52;23,42;9,77;15,89;0,42;0,58;1,05;7,87;35,19;;23,30;5,46;-1,14;508.315.292,42
NAFG4;19,02;;3,49;0,82;0,34;41,15;16,49;9,34;1,97;5,06;1,17;0,48;0,33;0,94;-0,85;2,52;23,42;9,77;15,89;0,42;0,58;1,05;7,87;35,19;;23,30;5,46;-0,34;508.315.292,42
NEMO3;0,00;;0,00;0,00;0,00;47,20;42,21;8,88;0,00;3,69;3,69;15,65;0,00;0,00;0,00;3,32;89,23;2,94;13,97;0,03;0,88;0,33;24,40;;;21,60;19,27;0,00;0,00
NEMO5;52,97;;2,75;2,45;0,08;47,20;42,21;8,88;0,58;3,69;3,69;15,65;0,24;0,44;-0,11;3,32;89,23;2,94;13,97;0,03;0,88;0,33;24,40;;;21,60;19,27;-0,02;0,00
NEMO6;0,00;;0,00;0,00;0,00;47,20;42,21;8,88;0,00;3,69;3,69;15,65;0,00;0,00;0,00;3,32;89,23;2,94;13,97;0,03;0,88;0,33;24,40;;;21,60;19,27;0,00;0,00
NEOE3;17,45;3,01;4,94;0,89;0,26;24,36;18,37;10,27;2,76;6,64;3,88;1,25;0,51;-13,33;-0,34;0,92;17,96;5,29;10,56;0,29;0,70;0,51;16,97;69,16;37.649.049,61;19,65;3,53;0,06;21.180.761.977,60
